"Date","Price","Open","High","Low","Vol.","Change %"
"31-10-2011","4,215.90","4,228.70","4,236.05","4,204.45","38.66M","-0.33%"
"28-10-2011","4,229.75","4,195.25","4,235.15","4,195.25","46.83M","2.69%"
"26-10-2011","4,119.05","4,114.15","4,128.85","4,114.15","9.42M","0.43%"
"25-10-2011","4,101.40","4,068.05","4,114.10","4,033.05","47.04M","1.35%"
"24-10-2011","4,046.65","4,059.95","4,089.00","4,040.25","27.81M","0.55%"
"21-10-2011","4,024.65","4,065.35","4,079.05","4,017.50","32.11M","-0.81%"
"20-10-2011","4,057.35","4,064.95","4,064.95","4,022.50","29.39M","-0.88%"
"19-10-2011","4,093.50","4,046.60","4,098.70","4,046.60","38.13M","1.75%"
"18-10-2011","4,023.15","4,046.45","4,046.45","4,007.15","31.26M","-1.49%"
"17-10-2011","4,083.80","4,103.75","4,111.45","4,063.45","31.55M","-0.17%"
"14-10-2011","4,090.70","4,047.15","4,095.95","4,044.15","39.32M","0.80%"
"13-10-2011","4,058.30","4,085.70","4,099.20","4,052.30","71.67M","-0.25%"
"12-10-2011","4,068.60","4,001.90","4,072.95","4,001.20","55.41M","2.18%"
"11-10-2011","3,981.85","3,999.85","4,029.35","3,975.60","80.54M","0.10%"
"10-10-2011","3,977.90","3,913.35","3,983.90","3,910.60","464.44M","1.63%"
"07-10-2011","3,913.95","3,894.40","3,942.10","3,894.40","468.16M","2.41%"
"05-10-2011","3,821.85","3,854.30","3,877.30","3,817.35","442.35M","-0.57%"
"04-10-2011","3,843.70","3,888.85","3,921.85","3,821.90","482.66M","-1.52%"
"03-10-2011","3,903.20","3,940.85","3,940.85","3,888.00","389.05M","-1.89%"
"30-09-2011","3,978.35","4,011.25","4,037.95","3,964.80","497.59M","-1.15%"
"29-09-2011","4,024.75","3,975.60","4,033.50","3,955.90","605.32M","0.94%"
"28-09-2011","3,987.45","4,028.95","4,028.95","3,972.15","447.00M","-0.56%"
"27-09-2011","4,010.05","3,953.35","4,017.85","3,953.35","423.79M","2.43%"
"26-09-2011","3,914.80","3,957.95","3,957.95","3,860.55","450.61M","-0.94%"
"23-09-2011","3,952.10","3,966.80","3,996.45","3,923.30","551.92M","-1.05%"
"22-09-2011","3,994.15","4,107.45","4,107.45","3,985.25","520.56M","-3.77%"
"21-09-2011","4,150.55","4,150.50","4,167.20","4,132.80","509.46M","0.19%"
"20-09-2011","4,142.80","4,077.90","4,148.00","4,075.85","455.38M","1.74%"
"19-09-2011","4,072.05","4,096.30","4,096.30","4,064.40","418.05M","-0.81%"
"16-09-2011","4,105.10","4,123.10","4,136.00","4,093.55","644.15M","0.20%"
"15-09-2011","4,097.00","4,078.90","4,105.85","4,029.10","487.56M","1.12%"
"14-09-2011","4,051.55","4,020.40","4,060.40","3,992.00","505.49M","1.11%"
"13-09-2011","4,007.10","4,027.75","4,074.90","3,987.65","548.51M","-0.09%"
"12-09-2011","4,010.75","4,055.90","4,055.90","3,989.70","518.49M","-2.13%"
"09-09-2011","4,098.10","4,168.50","4,175.65","4,090.90","651.74M","-1.58%"
"08-09-2011","4,163.85","4,154.25","4,175.35","4,131.20","521.87M","0.42%"
"07-09-2011","4,146.40","4,101.95","4,165.25","4,101.95","605.02M","1.30%"
"06-09-2011","4,093.20","4,050.15","4,098.05","4,013.30","581.80M","0.74%"
"05-09-2011","4,063.15","4,048.15","4,071.15","4,030.30","498.78M","-0.19%"
"02-09-2011","4,070.90","4,097.90","4,097.90","4,039.40","540.01M","0.81%"
"30-08-2011","4,038.35","4,006.95","4,047.70","3,986.25","543.34M","1.53%"
"29-08-2011","3,977.35","3,883.60","3,985.10","3,883.60","463.40M","3.27%"
"26-08-2011","3,851.55","3,929.60","3,949.30","3,833.70","477.52M","-1.98%"
"25-08-2011","3,929.50","3,984.10","3,987.80","3,921.65","658.54M","-1.02%"
"24-08-2011","3,970.10","4,002.25","4,030.35","3,960.05","467.46M","-1.01%"
"23-08-2011","4,010.70","3,984.80","4,020.45","3,947.60","459.07M","1.01%"
"22-08-2011","3,970.50","3,924.95","3,974.30","3,900.55","456.34M","1.14%"
"19-08-2011","3,925.80","3,947.65","3,953.90","3,883.65","593.91M","-1.71%"
"18-08-2011","3,994.15","4,093.25","4,093.25","3,985.20","541.11M","-2.14%"
"17-08-2011","4,081.30","4,078.55","4,122.70","4,056.20","568.55M","0.00%"
"16-08-2011","4,081.30","4,150.55","4,162.55","4,067.40","508.09M","-0.97%"
"12-08-2011","4,121.35","4,195.55","4,197.15","4,112.90","459.80M","-1.04%"
"11-08-2011","4,164.75","4,164.30","4,195.50","4,156.85","427.24M","-0.42%"
"10-08-2011","4,182.25","4,175.80","4,196.90","4,154.90","547.79M","1.81%"
"09-08-2011","4,107.70","4,057.20","4,176.95","4,028.25","720.27M","-1.03%"
