"Date","Price","Open","High","Low","Vol.","Change %"
"21-02-2024","16,004.85","16,223.05","16,268.60","15,968.15","101.83B","-1.04%"
"20-02-2024","16,172.35","16,305.15","16,348.40","16,144.20","92.80B","-0.53%"
"19-02-2024","16,258.30","16,292.55","16,331.45","16,231.55","526.00M","0.40%"
"16-02-2024","16,194.00","16,200.55","16,263.15","16,164.50","130.15B","0.55%"
"15-02-2024","16,105.20","16,012.75","16,120.60","16,006.70","120.78B","1.32%"
"14-02-2024","15,896.05","15,453.75","15,916.05","15,389.60","120.54B","1.61%"
"13-02-2024","15,643.75","15,575.60","15,664.90","15,225.85","126.86B","0.17%"
"12-02-2024","15,617.05","16,286.75","16,295.95","15,560.30","127.88B","-4.01%"
"09-02-2024","16,269.30","16,561.40","16,565.20","16,007.55","134.81B","-1.40%"
"08-02-2024","16,500.95","16,670.25","16,691.60","16,471.80","153.40B","-0.39%"
"07-02-2024","16,566.20","16,569.90","16,653.45","16,458.05","199.30B","0.71%"
"06-02-2024","16,449.35","16,433.80","16,478.05","16,283.05","171.17B","0.79%"
"05-02-2024","16,319.75","16,376.15","16,531.75","16,220.45","233.89B","0.26%"
"02-02-2024","16,277.85","16,253.20","16,388.65","16,225.25","228.75B","0.93%"
"01-02-2024","16,127.20","16,119.85","16,142.30","15,914.50","183.87B","0.63%"
"31-01-2024","16,026.30","15,756.70","16,038.95","15,737.00","149.62B","2.25%"
"30-01-2024","15,673.80","15,743.25","15,817.40","15,657.35","141.98B","0.23%"
"29-01-2024","15,638.55","15,503.25","15,654.60","15,497.00","164.64B","1.49%"
"25-01-2024","15,409.40","15,397.85","15,435.30","15,289.15","158.53B","0.50%"
"24-01-2024","15,332.05","15,109.80","15,348.20","14,910.30","140.22B","1.72%"
"23-01-2024","15,073.05","15,633.45","15,665.70","15,014.05","135.37B","-2.87%"
"20-01-2024","15,518.90","15,553.65","15,589.35","15,477.70","892.61M","0.20%"
"19-01-2024","15,487.45","15,455.80","15,561.25","15,447.55","124.56B","1.09%"
"18-01-2024","15,320.60","15,333.00","15,417.45","14,936.00","112.17B","-0.18%"
"17-01-2024","15,348.35","15,385.85","15,550.35","15,282.05","120.42B","-1.20%"
"16-01-2024","15,535.30","15,620.75","15,653.90","15,376.20","125.11B","-0.48%"
"15-01-2024","15,610.50","15,642.90","15,687.10","15,503.05","111.71B","0.42%"
"12-01-2024","15,544.65","15,568.55","15,609.70","15,526.90","107.62B","0.44%"
"11-01-2024","15,476.45","15,450.60","15,496.25","15,420.70","118.90B","0.58%"
"10-01-2024","15,386.70","15,445.40","15,465.80","15,288.30","109.42B","-0.15%"
"09-01-2024","15,409.70","15,462.60","15,506.80","15,384.25","93.19B","0.44%"
"08-01-2024","15,342.55","15,511.65","15,523.80","15,326.85","87.09B","-0.62%"
"05-01-2024","15,438.85","15,426.40","15,458.05","15,285.75","94.93B","0.65%"
"04-01-2024","15,339.20","15,265.50","15,367.95","15,263.45","103.83B","0.99%"
"03-01-2024","15,188.80","15,199.35","15,226.95","15,096.25","93.04B","-0.01%"
"02-01-2024","15,189.90","15,269.45","15,324.75","15,015.20","75.84B","-0.24%"
"01-01-2024","15,226.10","15,195.05","15,274.35","15,182.10","68.58B","0.54%"
"29-12-2023","15,143.65","15,114.95","15,165.00","15,019.80","81.37B","0.61%"
"28-12-2023","15,051.25","15,006.75","15,062.70","14,965.15","111.74B","0.79%"
"27-12-2023","14,933.35","14,953.10","14,989.90","14,821.90","90.03B","0.45%"
"26-12-2023","14,866.45","14,904.15","14,914.15","14,822.25","77.91B","0.14%"
"22-12-2023","14,846.05","14,786.10","14,905.05","14,713.45","86.94B","1.08%"
"21-12-2023","14,687.95","14,231.40","14,711.75","14,091.45","95.76B","1.94%"
"20-12-2023","14,407.85","15,033.30","15,090.25","14,349.60","124.79B","-3.63%"
"19-12-2023","14,951.20","15,029.00","15,046.25","14,891.85","102.39B","-0.12%"
"18-12-2023","14,968.75","14,940.55","15,016.05","14,813.90","118.39B","0.56%"
"15-12-2023","14,885.80","14,873.00","14,913.40","14,814.70","135.68B","0.71%"
"14-12-2023","14,780.90","14,785.40","14,856.55","14,771.20","101.18B","0.85%"
"13-12-2023","14,656.55","14,593.20","14,668.55","14,528.75","93.11B","0.87%"
"12-12-2023","14,529.45","14,606.45","14,633.05","14,493.35","75.51B","0.03%"
"11-12-2023","14,525.65","14,470.25","14,544.20","14,465.75","73.71B","0.84%"
"08-12-2023","14,403.95","14,612.10","14,619.50","14,321.55","94.19B","-1.09%"
"07-12-2023","14,562.00","14,537.20","14,592.25","14,426.90","92.67B","0.37%"
"06-12-2023","14,507.90","14,502.25","14,523.75","14,414.50","93.09B","0.38%"
"05-12-2023","14,453.55","14,500.25","14,547.15","14,335.75","86.07B","0.11%"
"04-12-2023","14,437.70","14,495.85","14,514.90","14,360.95","92.76B","1.39%"
"01-12-2023","14,239.30","14,252.15","14,305.10","14,223.20","94.49B","0.48%"
"30-11-2023","14,171.35","14,062.95","14,202.20","13,977.80","131.90B","1.14%"
"29-11-2023","14,012.00","13,955.95","14,036.30","13,901.95","74.20B","1.03%"
"28-11-2023","13,868.90","13,922.45","13,946.00","13,838.80","70.45B","0.30%"
"24-11-2023","13,827.50","13,845.15","13,905.35","13,811.65","65.16B","0.30%"
"23-11-2023","13,785.50","13,697.80","13,826.30","13,696.45","57.38B","0.70%"
"22-11-2023","13,689.95","13,854.50","13,870.55","13,656.05","63.98B","-1.21%"
